class	region_va	base_va	name	rows	callers	strings
CHANGED	8004A6D0	8004A1B8	StatChk_SaveTopTime__FP10Car_tStatss	437	MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	8004ADD0	8004A868	Stattool_nCreateIndex__FiPiPs	77	StatChk_IsRecordLapTime__FP10Car_tStatssPs;StatChk_SaveTopTime__FP10Car_tStatss	
CHANGED	8004B01C	8004AAB4	UserNameUpperCaseOneLetter__FPc	72	Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;StatTool_UpperCaseItKeepingInMindThoseBloodySpecialCharacters__FPc	
CHANGED	8004D254	8004CCE4	Movie_Play__Fc	136	play_movie__Fc	
REGION-ONLY	8004DD3C		func_8004DD3C	37	Redraw__14tFEApplication	
CHANGED	8004E148	8004DB34	DoTitleScreen__Fv	66	Init_PSX_FrontEnd__Fv	
CHANGED	8004E250	8004DC34	DoLanguageScreen__Fv	193	Init_PSX_FrontEnd__Fv	
CHANGED	8004E5F0	8004DD0C	Init_RenderingEnvironment__Fv	62	Init_PSX_FrontEnd__Fv;Init_PSX_FrontEnd__Fv	
CHANGED	80051AA0	800511B0	videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii	258	VIDEO_updateframexy__Fiii	
CHANGED	80051EA8	800515B8	func_80051EA8	6321		
CHANGED	800644B4	80063CC4	HighExecute__10AIHigh_Cop	1464		
CHANGED	8006FEF8	8006F6F8	AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails	8	AIPerson_SetPersonality__FP8Car_tObji	
CHANGED	800701BC	8006F9A4	AIState_StartUp__Fv	16	AIHigh_StartUp__Fv	
CHANGED	800701FC	8006F9C4	AIState_Restart__Fv	16	AIHigh_Restart2__Fv	
REGION-ONLY	800702E4		func_800702E4	19	__11AIHigh_BaseP8Car_tObj;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman	
REGION-ONLY	80070330		func_80070330	15	___12AIState_None;___12AIState_Base;___17AIState_NonActive;___12AIState_Base_8005F680	
CHANGED	800754C8	80074BE8	AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef	96	AudioClc_SoundPlayersCar__Fi;AudioTrk_AddCustomObject__FP9AudioElemiP8coorddefiP8Car_tObji	
CHANGED	8007571C	80074E24	AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj	85		
CHANGED	8007593C	80075028	AudioClc_SoundCloseCar__Fii	61	AudioClc_SoundCars__Fv	
CHANGED	80075A30	80075508	AudioClc_SoundPlayersCar__Fi	318	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
REGION-ONLY	80075F28		func_80075F28	465	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
CHANGED	80076B90	80076160	AudioClc_SoundCars__Fv	180	Sim_ProcessSimSchedules__Fv	
CHANGED	80076E60	80076420	AudioCmn_MusicLevel__Fi	14	AudioCmn_Reset__Fv;MPause_MusicLogic__Fc;MPause_MusicLogic__Fc	
CHANGED	80077174	8007675C	AudioCmn_LoadAsyncSfx__FiiPvi	99	CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv	
CHANGED	800775EC	80076BEC	AudioCmn_Reset__Fv	196	Nfs2_ResetGame__Fv	
CHANGED	80078AF8	80078140	AudioCmn_PlayDoppleredSound__Fiiiiii	153	AudioCmn_PlaySound__Fiiiii;AudioCmn_PlaySFX__Fiiiiii;AudioCmn_PlaySFX__Fiiiiii	
CHANGED	80078D88	800783CC	AudioCmn_PlaySFX__Fiiiiii	343	AudioClc_SoundOpponentHorn__Fiiii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii	
CHANGED	800792E4	800788BC	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	540		
CHANGED	80079B54	80079104	AudioCmn_TrafficSFX__Fiiiiiiii	177	AudioClc_SoundPlayersCar__Fi	
CHANGED	8007A6A0	80079C18	AudioCmn_UnPause__Fv	28	Sim_ProcessPause__Fv;Sim_MainGameLoop__Fv	
CHANGED	8007AC48	8007A1DC	AudioMus_Fail__Fi	39	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_Server__Fii	
CHANGED	8007ACE4	8007A258	AudioMus_QueueRequestedSong__Fv	40	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_PlaySong__FPc	
CHANGED	8007AE4C	8007A3D0	AudioMus_Server__Fii	242		
CHANGED	8007BF3C	8007B5A8	AudioEng_Set__Fiiiiiiii	164	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	
CHANGED	8007E71C	8007DD74	SetupChunkBuildList__FP13DRender_tView	224	BWorld_OnyxBuildFacets__FP13DRender_tView	
CHANGED	8007EEA8	8007E4AC	BWorld_OpenContext__Fii	56	BWorld_Init__Fv;BWorld_Init__Fv	
CHANGED	8007EFEC	8007E5C8	BWorld_Init__Fv	187	Nfs2_GameModuleStartUp__FPi	
CHANGED	80085A2C	80085008	Camera_GetViewInfo__FiP17DRender_tCalcViewi	206	Camera_SetCamera__FP13DRender_tView	
CHANGED	8008A304	800898DC	Car_DoPostCollisionStuff__FP8Car_tObj	180		
CHANGED	8008BE8C	8008B3FC	InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem	354	Track_Init__FPc	
CHANGED	80098F28	80098434	Lose__Q26Speech13MobileSpeaker	209		
CHANGED	8009A0D4	800995F0	CopSpeak_InitRequest__FP17CopSpeak_tRequest	13	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;CopSpeak_InitVars__Fv;CopSpeak_DirectRequest__FillP8Car_tObjPc	
CHANGED	8009A16C	80099684	CopSpeak_Alloc__FP17CopSpeak_tRequest	32	CopSpeak_LoadNextRequest__Fv	
CHANGED	8009A1EC	8009971C	CopSpeak_Free__FP17CopSpeak_tRequest	45	CopSpeak_ReadyNextRequest__Fv	
