function	class	repr_region	region_va	words	unit	candidate
CD_Read	CHANGED	USA	800FB028	162	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CD_systaskfunc	CHANGED	USA	800FA444	108	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CD_timerfunc	CHANGED	USA	800FA5F4	24	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
CdReadyHandler	CHANGED	USA	800FA654	300	eaclib/psx/eacpsxz/cdfs	regiondiff/recon/NFS4-R-USA/eaclib/psx/eacpsxz/cdfs.c
DrawHelpIcons__14tFEApplication	CHANGED	JPN	8001348C	136	frontend/common/feapp	regiondiff/recon/NFS4-R-JPN/frontend/common/feapp.cpp
Redraw__14tFEApplication	CHANGED	JPN	800136AC	373	frontend/common/feapp	regiondiff/recon/NFS4-R-JPN/frontend/common/feapp.cpp
Draw__20tMenuItemSlidingMenuiib	CHANGED	AU	8001D7CC	402	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-AU/frontend/common/femenuoptions.cpp
DrawBackground__18tScreenTrackSelect	CHANGED	AU	800419D8	301	frontend/common/screentracks	regiondiff/recon/NFS4-R-AU/frontend/common/screentracks.cpp
MPause_MusicLogic__Fc	CHANGED	USA	8009EEAC	192	game/common/mpause	regiondiff/recon/NFS4-R-USA/game/common/mpause.cpp
Render_InitBlurMode__Fv	CHANGED	USA	800B46D4	27	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
Render_RenderWorld__FP13DRender_tView	CHANGED	USA	800B3F80	41	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
Render_Render__Fi	CHANGED	USA	800B4170	82	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
Init_MemcardFile__FR12MCRDFILE_defsb	CHANGED	AU	80034A5C	32	frontend/common/fememcard	regiondiff/recon/NFS4-R-AU/frontend/common/fememcard.cpp
Init_Memcard__FbT0	CHANGED	AU	8003484C	90	frontend/common/fememcard	regiondiff/recon/NFS4-R-AU/frontend/common/fememcard.cpp
Platform_SysStartUp__Fv	CHANGED	USA	800DCF74	58	game/psx/platform	regiondiff/recon/NFS4-R-USA/game/psx/platform.cpp
func_8009A5B0	REGION-ONLY	AU	8009A5B0	44	regiononly/func_8009A5B0	regiondiff/recon/NFS4-R-AU/regiononly/func_8009A5B0.cpp
func_800A77E8	REGION-ONLY	AU	800A77E8	10	regiononly/func_800A77E8	regiondiff/recon/NFS4-R-AU/regiononly/func_800A77E8.cpp
func_800A7828	REGION-ONLY	AU	800A7828	8	regiononly/func_800A7828	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7828.cpp
