function	class	repr_region	region_va	words	unit	candidate
CopSpeak_Alloc__FP17CopSpeak_tRequest	CHANGED	USA	8009A168	32	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_DirectRequest__FillP8Car_tObjPc	CHANGED	USA	8009A790	49	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_Free__FP17CopSpeak_tRequest	CHANGED	USA	8009A1E8	45	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_GenericBankRequest__FiP8Car_tObj	CHANGED	USA	8009A854	47	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_InitRequest__FP17CopSpeak_tRequest	CHANGED	USA	8009A0D0	13	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_InitVars__Fv	CHANGED	USA	8009A710	32	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_LoadNextRequest__Fv	CHANGED	USA	8009B21C	135	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_PlayNextRequest__Fv	CHANGED	USA	8009B438	81	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_ReadyNextRequest__Fv	CHANGED	USA	8009A29C	176	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
CopSpeak_Request__FP17CopSpeak_tRequest	CHANGED	USA	8009B09C	84	game/common/copspeak	regiondiff/recon/NFS4-R-USA/game/common/copspeak.cpp
Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	CHANGED	USA	800A3990	492	game/common/newton	regiondiff/recon/NFS4-R-USA/game/common/newton.cpp
DrawCongratsMessage__23tScreenBeTheCopCongrats	CHANGED	USA	800499B0	48	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawCongratsMessage__23tScreenTournamentTrophy	CHANGED	USA	800493DC	185	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
GetShapeInfo__15tScreenCongratsRsT1PPcT3	CHANGED	USA	8004830C	148	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
Initialize__11tScreenMain	CHANGED	USA	8003895C	221	frontend/common/screenmain	regiondiff/recon/NFS4-R-USA/frontend/common/screenmain.cpp
PreLoad__11tScreenMain	CHANGED	USA	800388C0	39	frontend/common/screenmain	regiondiff/recon/NFS4-R-USA/frontend/common/screenmain.cpp
Hud_CreateHudViews__Fv	CHANGED	AU	800D280C	187	game/psx/hud	regiondiff/recon/NFS4-R-AU/game/psx/hud.cpp
Draw__25tPMenuItemLeftRightChoiceb	CHANGED	JPN	800A82E4	44	game/common/pausemenu	regiondiff/recon/NFS4-R-JPN/game/common/pausemenu.cpp
Draw__25tPMenuItemLeftRightSliderb	CHANGED	JPN	800A8534	96	game/common/pausemenu	regiondiff/recon/NFS4-R-JPN/game/common/pausemenu.cpp
func_80012FDC	REGION-ONLY	UK-ES-IT	80012FDC	107	regiononly/func_80012FDC	regiondiff/recon/NFS4-R-UK-ES-IT/regiononly/func_80012FDC.cpp
Weather_DoSplats__FiP18Weather_tSplatInfo	CHANGED	AU	800E4490	97	game/psx/weather	regiondiff/recon/NFS4-R-AU/game/psx/weather.cpp
s_lower__FPc	CHANGED	JPN	800265F8	8	frontend/common/fetools	regiondiff/recon/NFS4-R-JPN/frontend/common/fetools.cpp
s_upper__FPc	CHANGED	JPN	800265D8	8	frontend/common/fetools	regiondiff/recon/NFS4-R-JPN/frontend/common/fetools.cpp
func_800A77C4	REGION-ONLY	AU	800A77C4	9	regiononly/func_800A77C4	regiondiff/recon/NFS4-R-AU/regiononly/func_800A77C4.cpp
func_800DCED8	REGION-ONLY	AU	800DCED8	2	regiononly/func_800DCED8	regiondiff/recon/NFS4-R-AU/regiononly/func_800DCED8.cpp
