function	class	repr_region	region_va	words	unit	candidate
Front_AppendOpponentData__FPiR9tFEStream	CHANGED	USA	80029B74	205	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_GetInGameVars__Fv	CHANGED	USA	8002B750	63	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitMissions__FR9tFEStream	CHANGED	USA	80028BA8	85	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitTrack__FR9tFEStream	CHANGED	USA	80029284	117	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitialMemCardCheck__Fv	CHANGED	USA	80027968	25	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_SecondaryMemCardCheck__Fv	CHANGED	USA	800279CC	53	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Redraw__14tFEApplication	CHANGED	USA	80013894	360	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
RunDemoVideo__14tFEApplication	CHANGED	USA	800140E8	184	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
AdjustPosition__16tListIteratorCar7tPlayers	CHANGED	USA	80017BE4	380	frontend/common/fecars	regiondiff/recon/NFS4-R-USA/frontend/common/fecars.cpp
GetCarFromID__11tCarManagers	CHANGED	USA	80016374	28	frontend/common/fecars	regiondiff/recon/NFS4-R-USA/frontend/common/fecars.cpp
MenuNFS4_DrawTextBox__FiR4RECTissbT5	CHANGED	USA	8001A158	301	frontend/common/femenuextended	regiondiff/recon/NFS4-R-USA/frontend/common/femenuextended.cpp
func_8009B57C	REGION-ONLY	USA	8009B57C	192	regiononly/func_8009B57C	regiondiff/recon/NFS4-R-USA/regiononly/func_8009B57C.cpp
DrawOneRecord__19tScreenTrackRecordsibi	CHANGED	USA	80042AE0	156	frontend/common/screentrackrecords	regiondiff/recon/NFS4-R-USA/frontend/common/screentrackrecords.cpp
AllocatePrimitivesBuffer__Fv	CHANGED	USA	800BEC4C	39	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
Draw_SetViewMemBudget__Fii	CHANGED	USA	800BEBC0	11	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
Draw_StartRenderingView__Fi	CHANGED	USA	800BEDAC	60	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
Cleanup__14tScreenMemcard	CHANGED	USA	80048230	36	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
DrawForeground__14tScreenMemcard	CHANGED	USA	80047EC0	67	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
func_800EECDC	REGION-ONLY	AU	800EECDC	16	regiononly/func_800EECDC	regiondiff/recon/NFS4-R-AU/regiononly/func_800EECDC.cpp
func_800A7888	REGION-ONLY	AU	800A7888	8	regiononly/func_800A7888	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7888.cpp
