function	class	repr_region	region_va	words	unit	candidate
AudioCmn_LoadAsyncSfx__FiiPvi	CHANGED	USA	80077174	99	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_MusicLevel__Fi	CHANGED	USA	80076E60	14	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_PlayDoppleredSound__Fiiiiii	CHANGED	USA	80078AF8	153	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_PlaySFX__Fiiiiii	CHANGED	USA	80078D88	343	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_Reset__Fv	CHANGED	USA	800775EC	196	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_SoundCar__FP8Car_tObjiiiiiii	CHANGED	USA	800792E4	540	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_TrafficSFX__Fiiiiiiii	CHANGED	USA	80079B54	177	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
AudioCmn_UnPause__Fv	CHANGED	USA	8007A6A0	28	game/common/audiocmn	regiondiff/recon/NFS4-R-USA/game/common/audiocmn.cpp
GameSetup_StartUp__FPi	CHANGED	USA	8009C7C8	263	game/common/gmesetup	regiondiff/recon/NFS4-R-USA/game/common/gmesetup.cpp
func_8009B580	REGION-ONLY	AU	8009B580	192	regiononly/func_8009B580	regiondiff/recon/NFS4-R-AU/regiononly/func_8009B580.cpp
Stattool_nCreateIndex__FiPiPs	CHANGED	USA	8004AD40	77	frontend/common/stattool	regiondiff/recon/NFS4-R-USA/frontend/common/stattool.cpp
UserNameUpperCaseOneLetter__FPc	CHANGED	USA	8004AF8C	72	frontend/common/stattool	regiondiff/recon/NFS4-R-USA/frontend/common/stattool.cpp
Confirm__Fii	CHANGED	JPN	80034188	109	frontend/common/fememcard	regiondiff/recon/NFS4-R-JPN/frontend/common/fememcard.cpp
DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache	CHANGED	USA	800C7C30	52	game/psx/draww	regiondiff/recon/NFS4-R-USA/game/psx/draww.cpp
DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache	CHANGED	USA	800C7BC8	26	game/psx/draww	regiondiff/recon/NFS4-R-USA/game/psx/draww.cpp
MemCardCmd_cb	CHANGED	USA	800FB7D8	28	syslib/psx/libmcrd/LIBMCRD	regiondiff/recon/NFS4-R-USA/syslib/psx/libmcrd/LIBMCRD.c
func_800A7788	REGION-ONLY	USA	800A7788	14	regiononly/func_800A7788	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7788.cpp
func_800A780C	REGION-ONLY	USA	800A780C	6	regiononly/func_800A780C	regiondiff/recon/NFS4-R-USA/regiononly/func_800A780C.cpp
