function	class	repr_region	region_va	words	unit	candidate
StatChk_IsRecordLapTime__FP10Car_tStatssPs	CHANGED	USA	80049CC8	207	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
StatChk_IsTopTime__FP10Car_tStatss	CHANGED	USA	8004A194	299	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
StatChk_SaveTopTime__FP10Car_tStatss	CHANGED	USA	8004A640	437	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
func_80075F28	REGION-ONLY	USA	80075F28	465	regiononly/func_80075F28	regiondiff/recon/NFS4-R-USA/regiononly/func_80075F28.cpp
AudioMus_Fail__Fi	CHANGED	USA	8007AC48	39	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_QueueRequestedSong__Fv	CHANGED	USA	8007ACE4	40	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_Server__Fii	CHANGED	USA	8007AE4C	242	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
Lose__Q26Speech13MobileSpeaker	CHANGED	USA	80098F24	209	game/common/speech	regiondiff/recon/NFS4-R-USA/game/common/speech.cpp
FECheat_ActivateBonusByCode__FPc	CHANGED	USA	80023800	46	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_ActivateCheat__FPc	CHANGED	USA	80023634	66	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_HandleActivation__F10tCheatCode	CHANGED	USA	800233A0	36	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_LoadBonus__FRUl	CHANGED	USA	80023778	30	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
DoTitleScreen__Fv	CHANGED	AU	8004E0C0	66	frontend/psx/psxfront	regiondiff/recon/NFS4-R-AU/frontend/psx/psxfront.cpp
Init_RenderingEnvironment__Fv	CHANGED	AU	8004E2A0	62	frontend/psx/psxfront	regiondiff/recon/NFS4-R-AU/frontend/psx/psxfront.cpp
Render_CreatePlayerViews__Fv	CHANGED	AU	800B3D78	59	game/common/render	regiondiff/recon/NFS4-R-AU/game/common/render.cpp
Render_InitTrackRender__Fv	CHANGED	AU	800B43C8	46	game/common/render	regiondiff/recon/NFS4-R-AU/game/common/render.cpp
func_800702E4	REGION-ONLY	USA	800702E4	19	regiononly/func_800702E4	regiondiff/recon/NFS4-R-USA/regiononly/func_800702E4.cpp
func_80070330	REGION-ONLY	USA	80070330	15	regiononly/func_80070330	regiondiff/recon/NFS4-R-USA/regiononly/func_80070330.cpp
func_800DCEAC	REGION-ONLY	USA	800DCEAC	2	regiononly/func_800DCEAC	regiondiff/recon/NFS4-R-USA/regiononly/func_800DCEAC.cpp
