function	class	repr_region	region_va	words	unit	candidate
DeInit_Memcard__Fv	CHANGED	USA	80034938	42	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Init_Memcard__FbT0	CHANGED	USA	800347D4	89	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
LoadGame__FsbT1	CHANGED	USA	80034F70	388	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
SaveGame__Fs	CHANGED	USA	80034AC8	298	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
SavePinkSlipsCars__Fss	CHANGED	USA	80035580	236	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Cleanup__16tScreenPinkSlips	CHANGED	USA	80039580	31	frontend/common/screenpinkslips	regiondiff/recon/NFS4-R-USA/frontend/common/screenpinkslips.cpp
DrawBackground__16tScreenPinkSlips	CHANGED	USA	80038D60	390	frontend/common/screenpinkslips	regiondiff/recon/NFS4-R-USA/frontend/common/screenpinkslips.cpp
DrawC_PrimHalo__FP10matrixtdefP8coorddefP16Transformer_zObjiiiP13Draw_CarCache	CHANGED	USA	800C47B4	301	game/psx/drawc	regiondiff/recon/NFS4-R-USA/game/psx/drawc.cpp
DrawCongratsMessage__23tScreenTournamentTrophy	CHANGED	JPN	80048E64	200	frontend/common/screencongrats	regiondiff/recon/NFS4-R-JPN/frontend/common/screencongrats.cpp
AudioEng_Set__Fiiiiiiii	CHANGED	USA	8007BF3C	164	game/common/audioeng	regiondiff/recon/NFS4-R-USA/game/common/audioeng.cpp
PAD_restore	CHANGED	USA	800E4D60	17	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
PAD_state	CHANGED	USA	800E4DA4	20	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
PAD_update	CHANGED	USA	800E4E08	63	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
padinit	CHANGED	USA	800E4CF4	27	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
LoadDescription__15tMissionManagerb	CHANGED	USA	800341B4	77	frontend/common/femission	regiondiff/recon/NFS4-R-USA/frontend/common/femission.cpp
Object_KillStatus__Fv	CHANGED	USA	800A5DCC	28	game/common/object	regiondiff/recon/NFS4-R-USA/game/common/object.cpp
func_800A778C	REGION-ONLY	AU	800A778C	14	regiononly/func_800A778C	regiondiff/recon/NFS4-R-AU/regiononly/func_800A778C.cpp
