function	class	repr_region	region_va	words	unit	candidate
DoMemCardStuff__25tScreenPinkSlipsCarSelect	CHANGED	USA	8003F2C4	193	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawCar__FR8tCarInfossffcbUl7tPlayer	CHANGED	USA	8003AC64	125	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawForeground__16tScreenCarSelect	CHANGED	USA	8003CAE4	566	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
DrawVideoWall__25tScreenCarSelectTwoPlayers	CHANGED	USA	8003E4C0	104	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3	CHANGED	USA	8003E660	58	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3	CHANGED	USA	8003FA24	30	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
Initialize__25tScreenCarSelectTwoPlayer	CHANGED	USA	8003F140	32	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
Initialize__25tScreenPinkSlipsCarSelect	CHANGED	USA	8003F5E8	28	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	CHANGED	USA	8003C268	111	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	CHANGED	USA	8003F93C	58	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
Initialize__11tScreenMain	CHANGED	JPN	8003850C	223	frontend/common/screenmain	regiondiff/recon/NFS4-R-JPN/frontend/common/screenmain.cpp
SwapBackground__11tScreenMaini	CHANGED	JPN	80036CD0	109	frontend/common/screenmain	regiondiff/recon/NFS4-R-JPN/frontend/common/screenmain.cpp
FEInput_GetKeyFromPlayer__F7tPlayerl	CHANGED	JPN	80023984	77	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
FEInput_GetNoDebounceKey__Fii	CHANGED	JPN	80023688	122	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
FEInput_VerifyControllerValues__Fi	CHANGED	JPN	80023618	28	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
DoLanguageScreen__Fv	CHANGED	FR-DE	8004E238	183	frontend/psx/psxfront	regiondiff/recon/NFS4-R-FR-DE/frontend/psx/psxfront.cpp
Movie_Play__Fc	CHANGED	USA	8004D1C4	134	frontend/psx/movie	regiondiff/recon/NFS4-R-USA/frontend/psx/movie.cpp
func_80012F50	REGION-ONLY	USA	80012F50	106	regiononly/func_80012F50	regiondiff/recon/NFS4-R-USA/regiononly/func_80012F50.cpp
GoNonInterlaced__7tScreen	CHANGED	AU	80025C50	51	frontend/common/fescreen	regiondiff/recon/NFS4-R-AU/frontend/common/fescreen.cpp
func_8004DD3C	REGION-ONLY	UK-ES-IT	8004DD3C	37	regiononly/func_8004DD3C	regiondiff/recon/NFS4-R-UK-ES-IT/regiononly/func_8004DD3C.cpp
func_800A7884	REGION-ONLY	USA	800A7884	8	regiononly/func_800A7884	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7884.cpp
func_800A7810	REGION-ONLY	AU	800A7810	6	regiononly/func_800A7810	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7810.cpp
