A=28  G=9   S=13  011132003 skelnr=2    insns=3197 frame=632 delta=9
A=28  G=13  S=9   011133002 skelnr=8    insns=3197 frame=632 delta=9
A=28  G=17  S=5   011134001 skelnr=8    insns=3197 frame=632 delta=9
A=29  G=0   S=19  111120112 skelnr=2    insns=3197 frame=632 delta=9
A=29  G=5   S=14  111121012 skelnr=2    insns=3197 frame=632 delta=9
A=29  G=9   S=10  111122011 skelnr=8    insns=3197 frame=632 delta=9
A=29  G=13  S=9   111123002 skelnr=8    insns=3197 frame=632 delta=9
A=29  G=17  S=5   111124001 skelnr=8    insns=3197 frame=632 delta=9
A=31  G=0   S=17  001330004 skelnr=81   insns=3198 frame=608 delta=9
A=31  G=5   S=13  001331003 skelnr=81   insns=3198 frame=608 delta=9
A=31  G=9   S=9   001332002 skelnr=87   insns=3198 frame=608 delta=9
A=31  G=13  S=5   001333001 skelnr=87   insns=3198 frame=608 delta=9
A=31  G=17  S=0   001334000 skelnr=86   insns=3199 frame=608 delta=9
A=32  G=0   S=17  011230004 skelnr=81   insns=3198 frame=608 delta=9
A=32  G=5   S=13  011231003 skelnr=2    insns=3197 frame=632 delta=9
A=32  G=9   S=9   011232002 skelnr=8    insns=3197 frame=632 delta=9
A=32  G=13  S=5   011233001 skelnr=8    insns=3197 frame=632 delta=9
A=32  G=17  S=0   011234000 skelnr=8    insns=3197 frame=632 delta=9
A=33  G=0   S=15  111130111 skelnr=2    insns=3197 frame=632 delta=9
A=33  G=5   S=10  111131011 skelnr=8    insns=3197 frame=632 delta=9
A=33  G=9   S=9   111132002 skelnr=8    insns=3197 frame=632 delta=9
A=33  G=13  S=5   111133001 skelnr=8    insns=3197 frame=632 delta=9
A=33  G=17  S=0   111134000 skelnr=8    insns=3197 frame=632 delta=9
A=35  G=0   S=13  002330003 skelnr=81   insns=3198 frame=608 delta=9
A=35  G=5   S=9   002331002 skelnr=87   insns=3198 frame=608 delta=9
A=35  G=9   S=5   002332001 skelnr=87   insns=3198 frame=608 delta=9
A=35  G=13  S=0   002333000 skelnr=86   insns=3199 frame=608 delta=9
A=35  G=17  S=0   002334000 skelnr=8    insns=3197 frame=632 delta=9
A=36  G=0   S=13  011330003 skelnr=81   insns=3198 frame=608 delta=9
A=36  G=5   S=9   011331002 skelnr=8    insns=3197 frame=632 delta=9
A=36  G=9   S=5   011332001 skelnr=8    insns=3197 frame=632 delta=9
A=36  G=13  S=0   011333000 skelnr=8    insns=3197 frame=632 delta=9
A=36  G=17  S=0   011334000 skelnr=8    insns=3197 frame=632 delta=9
A=37  G=0   S=13  111230003 skelnr=2    insns=3197 frame=632 delta=9
A=37  G=5   S=9   111231002 skelnr=8    insns=3197 frame=632 delta=9
A=37  G=9   S=5   111232001 skelnr=8    insns=3197 frame=632 delta=9
A=37  G=13  S=0   111233000 skelnr=8    insns=3197 frame=632 delta=9
A=37  G=17  S=0   111234000 skelnr=8    insns=3197 frame=632 delta=9
A=39  G=0   S=9   003330002 skelnr=81   insns=3198 frame=608 delta=9
A=39  G=5   S=5   003331001 skelnr=87   insns=3198 frame=608 delta=9
A=39  G=9   S=0   003332000 skelnr=86   insns=3199 frame=608 delta=9
A=39  G=13  S=0   003333000 skelnr=8    insns=3197 frame=632 delta=9
A=39  G=17  S=0   003334000 skelnr=8    insns=3197 frame=632 delta=9
A=40  G=0   S=9   012330002 skelnr=87   insns=3198 frame=608 delta=9
A=40  G=5   S=5   012331001 skelnr=8    insns=3197 frame=632 delta=9
A=40  G=9   S=0   012332000 skelnr=8    insns=3197 frame=632 delta=9
A=40  G=13  S=0   012333000 skelnr=8    insns=3197 frame=632 delta=9
A=40  G=17  S=0   012334000 skelnr=8    insns=3197 frame=632 delta=9
A=41  G=0   S=9   111330002 skelnr=8    insns=3197 frame=632 delta=9
A=41  G=5   S=5   111331001 skelnr=8    insns=3197 frame=632 delta=9
A=41  G=9   S=0   111332000 skelnr=8    insns=3197 frame=632 delta=9
A=41  G=13  S=0   111333000 skelnr=8    insns=3197 frame=632 delta=9
A=41  G=17  S=0   111334000 skelnr=8    insns=3197 frame=632 delta=9
A=44  G=0   S=5   013330001 skelnr=87   insns=3198 frame=608 delta=9
A=44  G=5   S=0   013331000 skelnr=8    insns=3197 frame=632 delta=9
A=44  G=9   S=0   013332000 skelnr=8    insns=3197 frame=632 delta=9
A=44  G=13  S=0   013333000 skelnr=8    insns=3197 frame=632 delta=9
A=45  G=0   S=5   112330001 skelnr=8    insns=3197 frame=632 delta=9
A=45  G=5   S=0   112331000 skelnr=8    insns=3197 frame=632 delta=9
A=45  G=9   S=0   112332000 skelnr=8    insns=3197 frame=632 delta=9
A=45  G=13  S=0   112333000 skelnr=8    insns=3197 frame=632 delta=9
A=48  G=0   S=0   023330000 skelnr=86   insns=3199 frame=608 delta=9
A=48  G=5   S=0   023331000 skelnr=8    insns=3197 frame=632 delta=9
A=48  G=9   S=0   023332000 skelnr=8    insns=3197 frame=632 delta=9
A=49  G=0   S=0   113330000 skelnr=8    insns=3197 frame=632 delta=9
A=49  G=5   S=0   113331000 skelnr=8    insns=3197 frame=632 delta=9
A=49  G=9   S=0   113332000 skelnr=8    insns=3197 frame=632 delta=9
A=52  G=0   S=0   033330000 skelnr=8    insns=3197 frame=632 delta=9
A=52  G=5   S=0   033331000 skelnr=8    insns=3197 frame=632 delta=9
A=53  G=0   S=0   123330000 skelnr=8    insns=3197 frame=632 delta=9
A=53  G=5   S=0   123331000 skelnr=8    insns=3197 frame=632 delta=9
A=57  G=0   S=0   133330000 skelnr=8    insns=3197 frame=632 delta=9
BEST: [(2, '000014015', 3197, 632, 9, 5, 17, 26), (2, '000023015', 3197, 632, 9, 9, 13, 26), (2, '000024014', 3197, 632, 9, 9, 17, 22), (2, '000032015', 3197, 632, 9, 13, 9, 26), (2, '000033014', 3197, 632, 9, 13, 13, 22), (2, '000034013', 3197, 632, 9, 13, 17, 18), (2, '011111113', 3197, 632, 9, 20, 5, 23), (2, '011112112', 3197, 632, 9, 20, 9, 19), (2, '011113111', 3197, 632, 9, 20, 13, 15), (2, '011114003', 3197, 632, 9, 20, 17, 13)]
