module                                         G0       G4       G8   verdict
eaclib/psx/pad                             1/4/16   1/4/16   1/4/16   =
eaclib/psx/eacpsxz/nsync                  8/10/57  8/10/29  8/10/29   G4
eaclib/psx/spchpsxz/spchevnt             11/14/30 12/14/28 12/14/28   G4
eaclib/psx/sndpsxz/sbhdrcpy                0/1/13   0/1/13   0/1/13   =
eaclib/psx/sndpsxz/sst                   15/16/13 15/16/13 15/16/13   =
eaclib/psx/sndpsxz/sserver                  5/6/3    5/6/3    5/6/3   =
eaclib/psx/eacpsxz/syncfile                7/8/21   7/8/21   7/8/21   =
eaclib/psx/eacpsxz/asinfunc                 1/2/2    1/2/2    1/2/2   =
eaclib/psx/spchpsxz/spchbank                7/8/4    7/8/4    7/8/4   =
eaclib/psx/spchpsxz/spchinit                6/7/3    6/7/3    6/7/3   =
eaclib/psx/eacpsxz/nfile                 17/27/171 18/27/132 18/27/132   G4
eaclib/psx/eacpsxz/resize                   0/1/2    0/1/2    0/1/2   =
eaclib/psx/eacpsxz/setfont                  0/1/2    0/1/2    0/1/2   =
eaclib/psx/eacpsxz/fileroot                6/9/69    9/9/0    9/9/0   G4
eaclib/psx/eacpsxz/unref                   0/2/32   1/2/17   1/2/17   G4
eaclib/psx/eacpsxz/vramfxya                1/3/38   2/3/34   2/3/34   G4
