# phantom-signature census (08A) -- regenerated; replaces the lost sweep_final2.txt
# CLASS	BASE	PHANTOM_MANGLING	REAL_SYMBOL	REFERENCING_OBJS
MEMBER	Redraw	Redraw__Fe	Redraw__14tFEApplication	femenudefs.cpp.o
MEMBER	RunFrontEnd	RunFrontEnd__Fe	RunFrontEnd__14tFEApplication	front.cpp.o
MEMBER	RunPostGame	RunPostGame__Fe	RunPostGame__14tFEApplication	front.cpp.o
MEMBER	Run	Run__Fe	Run__18tDialogInteractive	femenudefs.cpp.o
MEMBER	SellCar	SellCar__Fe	SellCar__11tCarManagerss	femenudefs.cpp.o
MEMBER	SetAvailableIcon	SetAvailableIcon__Fe	SetAvailableIcon__10tVideoWallssssP18tTexture_ShapeInfo	screencarselect.cpp.o
MEMBER	SetCarAvailable	SetCarAvailable__Fe	SetCarAvailable__11tCarManager10tCarModelsb	femenudefs.cpp.o,fetourn.cpp.o
MEMBER	SetCarViewable	SetCarViewable__Fe	SetCarViewable__11tCarManager10tCarModelsb	fetourn.cpp.o
MEMBER	SetClassAvailable	SetClassAvailable__Fe	SetClassAvailable__11tCarManager13tCarClassTypeb	fetourn.cpp.o
MEMBER	SetDimensions	SetDimensions__Fe	SetDimensions__24tMenuItemLeftRightSliderssss	femenudefs.cpp.o
MEMBER	SetOffset	SetOffset__Fe	SetOffset__10tVideoWallss	screencarselect.cpp.o
MEMBER	SetState	SetState__Fe	SetState__11tScreenMain16tScreenMainState	femenudefs.cpp.o
MEMBER	SetTrackAvailable	SetTrackAvailable__Fe	SetTrackAvailable__13tTrackManagersb	fetourn.cpp.o
MEMBER	SetValid	SetValid__Fe	SetValid__10tVideoWalls	screencarselect.cpp.o
MEMBER	Setup	Setup__Fe	Setup__14AIDataRecord_t	front.cpp.o
MEMBER	StartNewTournament	StartNewTournament__Fe	StartNewTournament__18tTournamentManagerUcUc	femenudefs.cpp.o
MEMBER	SwapBackground	SwapBackground__Fe	SwapBackground__11tScreenMaini	femenudefs.cpp.o
MEMBER	TournPointTotal	TournPointTotal__Fe	TournPointTotal__18tTournamentManagerPs	screenpost.cpp.o
MEMBER	TransitionOff	TransitionOff__Fe	TransitionOff__10tMenuBlank	screencarselect.cpp.o
MEMBER	TransitionOn	TransitionOn__Fe	TransitionOn__10tMenuBlank	screencarselect.cpp.o
MEMBER	UpdateAwardInformation	UpdateAwardInformation__Fe	UpdateAwardInformation__18tTournamentManager	front.cpp.o
MEMBER	UpdateCarLineup	UpdateCarLineup__Fe	UpdateCarLineup__18tTournamentManager	front.cpp.o
MEMBER	UploadShapes	UploadShapes__Fe	UploadShapes__7tScreenR17tShapeInformationssss	screencarselect.cpp.o
MEMBER	UploadSwapShapes	UploadSwapShapes__Fe	UploadSwapShapes__7tScreeni	screencarselect.cpp.o
