placed=443 dropped=17 bytes=922020 identical=777622 (84.34%) exact_objs=226 data_placed=238 data_bytes=56502 data_identical=53010
     60/    964 differing  build/recon/eaclib/psx/spchpsxz/spchbank.c.o
     58/   7792 differing  build/recon/game/common/aih_play.cpp.o
     56/   2372 differing  build/recon/game/common/genericpmx.cpp.o
     54/   2180 differing  build/recon/syslib/psx/libc/SPRINTF.c.o
     54/   1168 differing  build/recon/syslib/psx/libpad/PADSEQD.c.o
     53/   1512 differing  build/recon/syslib/psx/libpad/MCXMAIN.c.o
     52/  12460 differing  build/recon/game/common/ai.cpp.o
     51/   3060 differing  build/recon/frontend/common/screentracks.cpp.o
     50/   1900 differing  build/recon/game/common/aihigh.cpp.o
     50/    324 differing  build/recon/eaclib/psx/eacpsxz/primate.c.o
     48/    508 differing  build/recon/eaclib/psx/eacpsxz/systask.c.o
     48/    596 differing  build/recon/eaclib/psx/eacpsxz/inittmr.c.o
     46/   1028 differing  build/recon/frontend/psx/mdec.cpp.o
     42/   2768 differing  build/recon/frontend/common/screentrackrecords.cpp.o
     42/   1756 differing  build/recon/syslib/psx/libgpu/FONT.c.o
     41/   2292 differing  build/recon/frontend/common/screenaudio.cpp.o
     41/    248 differing  build/recon/syslib/psx/libmath/FIXDFSI.c.o
     40/   2336 differing  build/recon/eaclib/psx/spchpsxz/spchevnt.c.o
     38/   3228 differing  build/recon/game/common/anim.cpp.o
     37/   1932 differing  build/recon/frontend/common/fevideowall.cpp.o
     37/   1292 differing  build/recon/game/common/dashhud.cpp.o
     36/    952 differing  build/recon/game/common/schedule.cpp.o
     36/   4484 differing  build/recon/eaclib/psx/spchpsxz/spchpick.c.o
     34/   1428 differing  build/recon/frontend/psx/video.cpp.o
     33/    264 differing  build/recon/syslib/psx/libmcrd/USERFUNC.c.o
     32/   1640 differing  build/recon/game/psx/fe3dmenu.cpp.o
     32/   2128 differing  build/recon/game/common/aiperson.cpp.o
     30/   2052 differing  build/recon/frontend/psx/drawshp.cpp.o
     29/    416 differing  build/recon/game/common/textsys.cpp.o
     28/   3360 differing  build/recon/game/common/aih_traf.cpp.o
     28/    884 differing  build/recon/eaclib/psx/eacpsxz/movf.c.o
     28/    276 differing  build/recon/syslib/psx/libetc/INTR_VB.c.o
     27/    816 differing  build/recon/eaclib/psx/sndpsxz/sdmemman.c.o
     26/   1336 differing  build/recon/frontend/common/feinput.cpp.o
     26/    896 differing  build/recon/syslib/psx/libpress/VLC.c.o
     25/   3380 differing  build/recon/frontend/common/fetextrender.cpp.o
     24/    652 differing  build/recon/syslib/psx/libgte/FGO_01.c.o
     22/   2236 differing  build/recon/eaclib/psx/eacpsxz/memstd.c.o
     22/    528 differing  build/recon/eaclib/psx/spchpsxz/spchrand.c.o
     21/   1528 differing  build/recon/frontend/common/screentrophyinfo.cpp.o
     21/    192 differing  build/recon/syslib/psx/libpad/WAITRC2.c.o
     20/    196 differing  build/recon/syslib/psx/2mbyte/2mbyte.c.o
     20/   1212 differing  build/recon/eaclib/psx/eacpsxz/nsync.c.o
     20/    176 differing  build/recon/eaclib/psx/eacpsxz/timer.c.o
     20/    292 differing  build/recon/eaclib/psx/eacpsxz/fastmovf.c.o
     18/   5016 differing  build/recon/game/common/ailife.cpp.o
     18/    312 differing  build/recon/game/common/clock.cpp.o
     18/    608 differing  build/recon/game/psx/loading.cpp.o
     18/   1000 differing  build/recon/game/psx/trackspec.cpp.o
     17/   1024 differing  build/recon/syslib/psx/libmath/MULDF3.c.o
     16/    516 differing  build/recon/game/common/aicop.cpp.o
     16/    908 differing  build/recon/game/common/gmesetup.cpp.o
     16/    284 differing  build/recon/eaclib/psx/eacpsxz/isincos.c.o
     16/    884 differing  build/recon/syslib/psx/libmath/ADDDF3.c.o
     16/   2992 differing  build/recon/eaclib/psx/sndpsxz/stagpat.c.o
     16/    324 differing  build/recon/syslib/psx/libcd/event.c.o
     15/    908 differing  build/recon/game/psx/audio.cpp.o
     15/    560 differing  build/recon/eaclib/psx/pad.c.o
     15/    260 differing  build/recon/syslib/psx/libapi/COUNTER.c.o
     14/    576 differing  build/recon/game/common/scene.cpp.o
     14/   2164 differing  build/recon/game/psx/force.cpp.o
     13/   1104 differing  build/recon/frontend/common/screentrackinfo.cpp.o
     12/   1624 differing  build/recon/frontend/common/fecheats.cpp.o
     12/   2568 differing  build/recon/game/common/aih_basiccop.cpp.o
     12/   1532 differing  build/recon/game/common/aitriger.cpp.o
     12/     36 differing  build/recon/syslib/psx/libetc/VMODE.c.o
     12/    584 differing  build/recon/syslib/psx/libcd/toc.c.o
     10/    144 differing  build/recon/game/common/fastrand.cpp.o
     10/    764 differing  build/recon/eaclib/psx/eacpsxz/unref.c.o
     10/   1804 differing  build/recon/eaclib/psx/sndpsxz/salloc.c.o
