NFS4-PSX matching-decomp -- per-function match progress
(objdiff fuzzy_match_percent; VA from configs/symbol_addrs.txt)
TOTAL: 218 functions, 212 at 100% (97.2%)
==================================================================================
VA             %match  unit                     function
0x80072E10    100.00%  main                     DescribeTrigger__24AITrigger_TriggerManagerP9trigger_t
0x80072E18    100.00%  main                     AITrigger_Compare__FPCvT0
0x80072E68    100.00%  game/common/aitune       AITune_GetOneWay__Fv
0x80072EC0    100.00%  game/common/aitune       AITune_GetDriveSide__Fv
0x80072F00    100.00%  game/common/aitune       AITune_GetRoughLapTimes__Fv
0x80072F40    100.00%  game/common/aitune       AITune_StartUp1__Fv
0x80072F78    100.00%  main                     AITune_StartUp2__Fv
0x80072F78    100.00%  game/common/aitune       AITune_StartUp2__Fv
0x80072F80    100.00%  main                     AITune_CleanUp1__Fv
0x80072F80    100.00%  game/common/aitune       AITune_CleanUp1__Fv
0x80072F88    100.00%  main                     AITune_CleanUp2__Fv
0x80072F88    100.00%  game/common/aitune       AITune_CleanUp2__Fv
0x800732D8    100.00%  main                     AIWorld_GameOdometer__FP8Car_tObj
0x8007343C    100.00%  main                     AIWorld_IsDriveableLane_UsingMask__Fii
0x80074534    100.00%  main                     SetAnimAttrib__10AnimScripti
0x80074730    100.00%  main                     AudioClc_SndError__Fi
0x80076480    100.00%  main                     AudioCmn_GetTrackRecordLapTime__Fv
0x8007C52C    100.00%  main                     AudioEng_Resume__Fv
0x8007E5C0    100.00%  main                     BWorld_StartLoop__Fv
0x8007E968    100.00%  main                     BWorldSm_DeInit__Fv
0x80085EC4    100.00%  main                     Cars_GetDashData__FP8Car_tObjPiN21
0x80085F64    100.00%  main                     Cars_InitDashData__FP8Car_tObjPiT1
0x8008A5B4    100.00%  main                     Cars_Initialize__FPci
0x8008B920    100.00%  main                     Chunk_UpdateSys__FP13DRender_tView
0x8008B928    100.00%  main                     Chunk_Init__Fv
0x8008B930    100.00%  main                     Chunk_DeInit__Fv
0x80091FDC    100.00%  main                     Control_AI__FP8Car_tObj
0x80095D14    100.00%  main                     Report__Q26Speech7SpeakerP8Car_tObj
0x80095D1C    100.00%  main                     Deny__Q26Speech7Speaker
0x80095D24    100.00%  main                     Grant__Q26Speech7Speaker
0x80095D2C    100.00%  main                     Ready__Q26Speech7SpeakerP8Car_tObj
0x80095D34    100.00%  main                     Engage__Q26Speech7SpeakerP8Car_tObj
0x80095D3C    100.00%  main                     Lose__Q26Speech7Speaker
0x80095D44    100.00%  main                     Accident__Q26Speech7Speakeri
0x80095D4C    100.00%  main                     Catch__Q26Speech7Speakeri
0x80095D54    100.00%  main                     RoadBlock__Q26Speech7Speaker
0x80095D5C    100.00%  main                     SpikeBelt__Q26Speech7Speaker
0x80095D64    100.00%  main                     Backup__Q26Speech7Speaker
0x80095D6C    100.00%  main                     ReportBlockade__Q26Speech7Speaker
0x80095D74    100.00%  main                     Roger__Q26Speech7Speaker
