source	owner	status	retail_named	named_exact	named_missing	named_mismatch	retail_anonymous	anonymous_covered	retail_typedefs	typedefs_covered	source_extra_named	retail_duplicate_named	source_extra_anonymous	source_extra_typedefs	retail_duplicate_typedefs	source_duplicate_typedefs	detail
recon/eaclib/psx/eacpsxz/addtimer.c	..\eaclib\psx\eacpsxz.lib(addtimer.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/asinfunc.c	..\eaclib\psx\eacpsxz.lib(asinfunc.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/atanfunc.c	..\eaclib\psx\eacpsxz.lib(atanfunc.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/blkfill.c	..\eaclib\psx\eacpsxz.lib(blkfill.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/blkmov.c	..\eaclib\psx\eacpsxz.lib(blkmov.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/callback.c	..\eaclib\psx\eacpsxz.lib(callback.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/cdfs.c	..\eaclib\psx\eacpsxz.lib(cdfs.obj)	DIFF	0	0	0	0	0	0	0	0	3	0	3	2	0	0	named_extra=CD_ctx_t,CdlLOC,rd_le32_unaligned; anonymous_extra=STRTAG:312x1,STRTAG:16x2; typedefs_extra=CdlLOC:STRUCT,CD_ctx_t:STRUCT
recon/eaclib/psx/eacpsxz/cluttype.c	..\eaclib\psx\eacpsxz.lib(cluttype.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/crc.c	..\eaclib\psx\eacpsxz.lib(crc.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/crossprd.c	..\eaclib\psx\eacpsxz.lib(crossprd.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/devsys.c	..\eaclib\psx\eacpsxz.lib(devsys.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/exit.c	..\eaclib\psx\eacpsxz.lib(exit.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/fastmovf.c	..\eaclib\psx\eacpsxz.lib(fastmovf.obj)	DIFF	0	0	0	0	0	0	0	0	0	0	1	1	0	0	anonymous_extra=STRTAG:8x1; typedefs_extra=RECT:STRUCT
recon/eaclib/psx/eacpsxz/fileroot.c	..\eaclib\psx\eacpsxz.lib(fileroot.obj)	DIFF	0	0	0	0	0	0	0	0	1	0	0	2	0	0	named_extra=ReadCmd; typedefs_extra=ReadCmd:STRUCT,size_t:UINT
recon/eaclib/psx/eacpsxz/fixdatan.c	..\eaclib\psx\eacpsxz.lib(fixdatan.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recon/eaclib/psx/eacpsxz/fixddiv.c	..\eaclib\psx\eacpsxz.lib(fixddiv.obj)	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
