name	distinct	groups
DrawCongratsMessage__23tScreenTournamentTrophy	2	AU+FR-DE+UK-ES-IT+UK-SW+USA(185w) || JPN(200w)
DrawForeground__14tScreenMemcard	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(67w)
DrawForeground__16tScreenCarSelect	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(566w)
DrawForeground__18tScreenTournSelect	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(42w)
DrawHelpIcons__14tFEApplication	1	JPN(136w)
DrawOneRecord__19tScreenTrackRecordsibi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(156w)
DrawVideoWall__25tScreenCarSelectTwoPlayers	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(104w)
DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(52w)
DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(26w)
Draw_CheckFirstFrameRender__Fv	1	AU+FR-DE+UK-ES-IT+UK-SW(36w)
Draw_DirectSetEnvironment__Fiiiiiiiiii	1	AU+FR-DE+UK-ES-IT+UK-SW(69w)
Draw_InitRenderEngine__Fiiiiii	1	AU+FR-DE+UK-ES-IT+UK-SW(47w)
Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii	1	AU+FR-DE+UK-ES-IT+UK-SW(235w)
Draw_SetViewMemBudget__Fii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(11w)
Draw_StartRenderingView__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(60w)
Draw__11tDialogHelp	1	JPN(139w)
Draw__20tMenuItemSlidingMenuiib	1	AU+FR-DE+UK-ES-IT+UK-SW(402w)
Draw__25tPMenuItemLeftRightChoiceb	1	JPN(44w)
Draw__25tPMenuItemLeftRightSliderb	1	JPN(96w)
FECheat_ActivateBonusByCode__FPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(46w)
