function	class	group	repr_region	region_va	words	unit	candidate
Movie_Play__Fc	CHANGED	JPN+USA	USA	8004D1C4	134	frontend/psx/movie	regiondiff/recon/NFS4-R-USA/frontend/psx/movie.cpp
NFS4_LoadPerps__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800A4A6C	172	game/common/nfs3	regiondiff/recon/NFS4-R-USA/game/common/nfs3.cpp
Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800A3990	492	game/common/newton	regiondiff/recon/NFS4-R-USA/game/common/newton.cpp
Object_KillStatus__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800A5DCC	28	game/common/object	regiondiff/recon/NFS4-R-USA/game/common/object.cpp
PAD_restore	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800E4D60	17	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
PAD_state	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800E4DA4	20	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
PAD_update	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800E4E08	63	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
PadInfoAct	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800F09B4	35	syslib/psx/libpad/PADENTRY	regiondiff/recon/NFS4-R-USA/syslib/psx/libpad/PADENTRY.c
Physics_Real__FP8Car_tObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800ACDF8	1273	game/common/physics	regiondiff/recon/NFS4-R-USA/game/common/physics.cpp
Platform_SysStartUp__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800DCF74	58	game/psx/platform	regiondiff/recon/NFS4-R-USA/game/psx/platform.cpp
PreLoad__11tScreenMain	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800388C0	39	frontend/common/screenmain	regiondiff/recon/NFS4-R-USA/frontend/common/screenmain.cpp
ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003C268	111	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003F93C	58	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
R3DCar_InsertCarFacetII__FP8Car_tObj	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B2E30	382	game/common/r3dcar	regiondiff/recon/NFS4-R-USA/game/common/r3dcar.cpp
R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B0868	1153	game/common/r3dcar	regiondiff/recon/NFS4-R-USA/game/common/r3dcar.cpp
Redraw__14tFEApplication	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800138B4	363	frontend/common/feapp	regiondiff/recon/NFS4-R-AU/frontend/common/feapp.cpp
Redraw__14tFEApplication	CHANGED	JPN	JPN	800136AC	373	frontend/common/feapp	regiondiff/recon/NFS4-R-JPN/frontend/common/feapp.cpp
Redraw__14tFEApplication	CHANGED	USA	USA	80013894	360	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
Render_CreatePlayerViews__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800B3D78	59	game/common/render	regiondiff/recon/NFS4-R-AU/game/common/render.cpp
Render_InitBlurMode__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B46D4	27	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
Render_InitTrackRender__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800B43C8	46	game/common/render	regiondiff/recon/NFS4-R-AU/game/common/render.cpp
Render_RenderWorld__FP13DRender_tView	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B3F80	41	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
Render_Render__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B4170	82	game/common/render	regiondiff/recon/NFS4-R-USA/game/common/render.cpp
RunDemoVideo__14tFEApplication	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800140E8	184	frontend/common/feapp	regiondiff/recon/NFS4-R-USA/frontend/common/feapp.cpp
SaveGame__Fs	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80034AC8	298	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
SavePinkSlipsCars__Fss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80035580	236	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
SetCurrentController__23tScreenControllerConfigb	CHANGED	JPN	JPN	80043684	183	frontend/common/screencontroller	regiondiff/recon/NFS4-R-JPN/frontend/common/screencontroller.cpp
SetupChunkBuildList__FP13DRender_tView	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007E71C	224	game/common/bworld	regiondiff/recon/NFS4-R-USA/game/common/bworld.cpp
SetupCurrCredit__14tCreditManager	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80035F20	214	frontend/common/fecredits	regiondiff/recon/NFS4-R-USA/frontend/common/fecredits.cpp
ShakeIt__23tScreenControllerConfig	CHANGED	JPN	JPN	80043154	2	frontend/common/screencontroller	regiondiff/recon/NFS4-R-JPN/frontend/common/screencontroller.cpp
StatChk_IsRecordLapTime__FP10Car_tStatssPs	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80049CC8	207	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
StatChk_IsTopTime__FP10Car_tStatss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004A194	299	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
StatChk_SaveTopTime__FP10Car_tStatss	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004A640	437	frontend/common/statchk	regiondiff/recon/NFS4-R-USA/frontend/common/statchk.cpp
Stats_ExtrapolateOpponentTimes__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800B92D8	490	game/common/stats	regiondiff/recon/NFS4-R-USA/game/common/stats.cpp
Stattool_nCreateIndex__FiPiPs	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004AD40	77	frontend/common/stattool	regiondiff/recon/NFS4-R-USA/frontend/common/stattool.cpp
SwapBackground__11tScreenMaini	CHANGED	AU	AU	80037120	110	frontend/common/screenmain	regiondiff/recon/NFS4-R-AU/frontend/common/screenmain.cpp
SwapBackground__11tScreenMaini	CHANGED	JPN	JPN	80036CD0	109	frontend/common/screenmain	regiondiff/recon/NFS4-R-JPN/frontend/common/screenmain.cpp
Track_DeInit__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BBA40	55	game/common/track	regiondiff/recon/NFS4-R-USA/game/common/track.cpp
Track_Init__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BB5B4	291	game/common/track	regiondiff/recon/NFS4-R-USA/game/common/track.cpp
UpdateTrackFinishPoints__18tTournamentManager	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80032F80	129	frontend/common/fetourn	regiondiff/recon/NFS4-R-USA/frontend/common/fetourn.cpp
UserNameUpperCaseOneLetter__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004AF8C	72	frontend/common/stattool	regiondiff/recon/NFS4-R-USA/frontend/common/stattool.cpp
Weather_DoSplats__FiP18Weather_tSplatInfo	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800E4490	97	game/psx/weather	regiondiff/recon/NFS4-R-AU/game/psx/weather.cpp
__15tGlobalMenuDefs	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW+USA	USA	8002E504	3207	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
__15tGlobalMenuDefs	CHANGED	JPN	JPN	8002E14C	3197	frontend/common/femenudefs	regiondiff/recon/NFS4-R-JPN/frontend/common/femenudefs.cpp
func_80012F40	REGION-ONLY	JPN	JPN	80012F40	106	regiononly/func_80012F40	regiondiff/recon/NFS4-R-JPN/regiononly/func_80012F40.cpp
func_80012F50	REGION-ONLY	USA	USA	80012F50	106	regiononly/func_80012F50	regiondiff/recon/NFS4-R-USA/regiononly/func_80012F50.cpp
func_80012F6C	REGION-ONLY	AU	AU	80012F6C	107	regiononly/func_80012F6C	regiondiff/recon/NFS4-R-AU/regiononly/func_80012F6C.cpp
func_80012FC4	REGION-ONLY	FR-DE+UK-SW	FR-DE	80012FC4	107	regiononly/func_80012FC4	regiondiff/recon/NFS4-R-FR-DE/regiononly/func_80012FC4.cpp
func_80012FDC	REGION-ONLY	UK-ES-IT	UK-ES-IT	80012FDC	107	regiononly/func_80012FDC	regiondiff/recon/NFS4-R-UK-ES-IT/regiononly/func_80012FDC.cpp
func_8004DCB4	REGION-ONLY	AU	AU	8004DCB4	37	regiononly/func_8004DCB4	regiondiff/recon/NFS4-R-AU/regiononly/func_8004DCB4.cpp
func_8004DD24	REGION-ONLY	FR-DE+UK-SW	FR-DE	8004DD24	37	regiononly/func_8004DD24	regiondiff/recon/NFS4-R-FR-DE/regiononly/func_8004DD24.cpp
func_8004DD3C	REGION-ONLY	UK-ES-IT	UK-ES-IT	8004DD3C	37	regiononly/func_8004DD3C	regiondiff/recon/NFS4-R-UK-ES-IT/regiononly/func_8004DD3C.cpp
func_80051568	DATA-BLOB	JPN	JPN	80051568	6913	regiononly/func_80051568	regiondiff/recon/NFS4-R-JPN/regiononly/func_80051568.cpp
func_80051AA0	DATA-BLOB	USA	USA	80051AA0	6579	regiononly/func_80051AA0	regiondiff/recon/NFS4-R-USA/regiononly/func_80051AA0.cpp
func_80051B58	DATA-BLOB	AU	AU	80051B58	6533	regiononly/func_80051B58	regiondiff/recon/NFS4-R-AU/regiononly/func_80051B58.cpp
func_80051E60	DATA-BLOB	UK-SW	UK-SW	80051E60	6339	regiononly/func_80051E60	regiondiff/recon/NFS4-R-UK-SW/regiononly/func_80051E60.cpp
func_80051E68	DATA-BLOB	FR-DE	FR-DE	80051E68	6337	regiononly/func_80051E68	regiondiff/recon/NFS4-R-FR-DE/regiononly/func_80051E68.cpp
func_80051EA8	DATA-BLOB	UK-ES-IT	UK-ES-IT	80051EA8	6321	regiononly/func_80051EA8	regiondiff/recon/NFS4-R-UK-ES-IT/regiononly/func_80051EA8.cpp
func_800702E4	REGION-ONLY	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800702E4	19	regiononly/func_800702E4	regiondiff/recon/NFS4-R-USA/regiononly/func_800702E4.cpp
func_80070330	REGION-ONLY	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80070330	15	regiononly/func_80070330	regiondiff/recon/NFS4-R-USA/regiononly/func_80070330.cpp
AudioClc_SoundPlayersCar__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80075F28	465	game/common/audioclc	regiondiff/recon/NFS4-R-USA/game/common/audioclc.cpp
func_8009A5AC	REGION-ONLY	JPN+USA	USA	8009A5AC	44	regiononly/func_8009A5AC	regiondiff/recon/NFS4-R-USA/regiononly/func_8009A5AC.cpp
func_8009A5B0	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	8009A5B0	44	regiononly/func_8009A5B0	regiondiff/recon/NFS4-R-AU/regiononly/func_8009A5B0.cpp
func_8009B57C	REGION-ONLY	JPN+USA	USA	8009B57C	192	regiononly/func_8009B57C	regiondiff/recon/NFS4-R-USA/regiononly/func_8009B57C.cpp
func_8009B580	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	8009B580	192	regiononly/func_8009B580	regiondiff/recon/NFS4-R-AU/regiononly/func_8009B580.cpp
func_800A7788	REGION-ONLY	JPN+USA	USA	800A7788	14	regiononly/func_800A7788	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7788.cpp
func_800A778C	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A778C	14	regiononly/func_800A778C	regiondiff/recon/NFS4-R-AU/regiononly/func_800A778C.cpp
func_800A77C0	REGION-ONLY	JPN+USA	USA	800A77C0	9	regiononly/func_800A77C0	regiondiff/recon/NFS4-R-USA/regiononly/func_800A77C0.cpp
func_800A77C4	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A77C4	9	regiononly/func_800A77C4	regiondiff/recon/NFS4-R-AU/regiononly/func_800A77C4.cpp
func_800A77E4	REGION-ONLY	JPN+USA	USA	800A77E4	10	regiononly/func_800A77E4	regiondiff/recon/NFS4-R-USA/regiononly/func_800A77E4.cpp
func_800A77E8	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A77E8	10	regiononly/func_800A77E8	regiondiff/recon/NFS4-R-AU/regiononly/func_800A77E8.cpp
func_800A780C	REGION-ONLY	JPN+USA	USA	800A780C	6	regiononly/func_800A780C	regiondiff/recon/NFS4-R-USA/regiononly/func_800A780C.cpp
func_800A7810	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A7810	6	regiononly/func_800A7810	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7810.cpp
func_800A7824	REGION-ONLY	JPN+USA	USA	800A7824	8	regiononly/func_800A7824	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7824.cpp
func_800A7828	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A7828	8	regiononly/func_800A7828	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7828.cpp
func_800A7844	REGION-ONLY	JPN+USA	USA	800A7844	8	regiononly/func_800A7844	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7844.cpp
func_800A7848	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A7848	8	regiononly/func_800A7848	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7848.cpp
func_800A7864	REGION-ONLY	JPN+USA	USA	800A7864	8	regiononly/func_800A7864	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7864.cpp
func_800A7868	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A7868	8	regiononly/func_800A7868	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7868.cpp
func_800A7884	REGION-ONLY	JPN+USA	USA	800A7884	8	regiononly/func_800A7884	regiondiff/recon/NFS4-R-USA/regiononly/func_800A7884.cpp
func_800A7888	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A7888	8	regiononly/func_800A7888	regiondiff/recon/NFS4-R-AU/regiononly/func_800A7888.cpp
func_800BB0A8	REGION-ONLY	JPN	JPN	800BB0A8	57	regiononly/func_800BB0A8	regiondiff/recon/NFS4-R-JPN/regiononly/func_800BB0A8.cpp
func_800BB2F4	REGION-ONLY	USA	USA	800BB2F4	57	regiononly/func_800BB2F4	regiondiff/recon/NFS4-R-USA/regiononly/func_800BB2F4.cpp
func_800BB2F8	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BB2F8	57	regiononly/func_800BB2F8	regiondiff/recon/NFS4-R-AU/regiononly/func_800BB2F8.cpp
func_800DCC90	REGION-ONLY	JPN	JPN	800DCC90	2	regiononly/func_800DCC90	regiondiff/recon/NFS4-R-JPN/regiononly/func_800DCC90.cpp
func_800DCC98	REGION-ONLY	JPN	JPN	800DCC98	2	regiononly/func_800DCC98	regiondiff/recon/NFS4-R-JPN/regiononly/func_800DCC98.cpp
func_800DCEA4	REGION-ONLY	USA	USA	800DCEA4	2	regiononly/func_800DCEA4	regiondiff/recon/NFS4-R-USA/regiononly/func_800DCEA4.cpp
func_800DCEAC	REGION-ONLY	USA	USA	800DCEAC	2	regiononly/func_800DCEAC	regiondiff/recon/NFS4-R-USA/regiononly/func_800DCEAC.cpp
func_800DCED0	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800DCED0	2	regiononly/func_800DCED0	regiondiff/recon/NFS4-R-AU/regiononly/func_800DCED0.cpp
func_800DCED8	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800DCED8	2	regiononly/func_800DCED8	regiondiff/recon/NFS4-R-AU/regiononly/func_800DCED8.cpp
func_800EECDC	REGION-ONLY	AU+FR-DE+UK-ES-IT+UK-SW	AU	800EECDC	16	regiononly/func_800EECDC	regiondiff/recon/NFS4-R-AU/regiononly/func_800EECDC.cpp
func_801051A4	LIB-THUNK	JPN	JPN	801051A4	4	regiononly/func_801051A4	regiondiff/recon/NFS4-R-JPN/regiononly/func_801051A4.cpp
func_801053B8	LIB-THUNK	USA	USA	801053B8	4	regiononly/func_801053B8	regiondiff/recon/NFS4-R-USA/regiononly/func_801053B8.cpp
func_801053E4	LIB-THUNK	AU+FR-DE+UK-ES-IT+UK-SW	AU	801053E4	4	regiononly/func_801053E4	regiondiff/recon/NFS4-R-AU/regiononly/func_801053E4.cpp
iSNDdmtransfer	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8010B4BC	129	eaclib/psx/sndpsxz/sdma	regiondiff/recon/NFS4-R-USA/eaclib/psx/sndpsxz/sdma.c
iSNDsin	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8010D89C	2521	eaclib/psx/sndpsxz/ssine	regiondiff/recon/NFS4-R-USA/eaclib/psx/sndpsxz/ssine.c
main	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800A52A8	237	game/common/nfs3	regiondiff/recon/NFS4-R-AU/game/common/nfs3.cpp
padinit	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800E4CF4	27	eaclib/psx/pad	regiondiff/recon/NFS4-R-USA/eaclib/psx/pad.c
s_lower__FPc	CHANGED	JPN	JPN	800265F8	8	frontend/common/fetools	regiondiff/recon/NFS4-R-JPN/frontend/common/fetools.cpp
s_upper__FPc	CHANGED	JPN	JPN	800265D8	8	frontend/common/fetools	regiondiff/recon/NFS4-R-JPN/frontend/common/fetools.cpp
sprintf	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800E50A8	180	syslib/psx/libc/SPRINTF	regiondiff/recon/NFS4-R-USA/syslib/psx/libc/SPRINTF.c
videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80051698	258	frontend/psx/video	regiondiff/recon/NFS4-R-USA/frontend/psx/video.cpp
AdvanceToNextTrack__18tTournamentManager	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80033184	273	frontend/common/fetourn	regiondiff/recon/NFS4-R-USA/frontend/common/fetourn.cpp
AskTheUserToSaveTheGame__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002C49C	30	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
AudioMus_AutoVolume__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007BE00	48	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_Buffered__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AA48	19	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_BuildPattern__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B8F4	52	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_BuildPlayList__FiPi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B86C	34	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_DriverCleanUp__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B6A4	31	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_DriverStartUp__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B468	81	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_GetCurrentSong__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AA94	47	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_GetSongList__FPci	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B214	117	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_InitDriverGlobals__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B40C	23	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_InitGlobals__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B3E8	9	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_PlaySong__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B9C4	160	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_RefreshStatus__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007A960	25	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_SetCurrentSongInfo__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AE0C	16	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_StopSong__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B798	53	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_SwitchSong__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007AB50	62	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_SysCleanUp__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B720	30	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_SysStartUp__FiiPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007B5AC	62	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_Threshold__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007A9C4	33	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
AudioMus_Volume__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8007BC44	111	game/common/audiomus	regiondiff/recon/NFS4-R-USA/game/common/audiomus.cpp
CalculateDimensions__12tDialogYesNo	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80019B3C	46	frontend/common/fedialog	regiondiff/recon/NFS4-R-AU/frontend/common/fedialog.cpp
CalculateDimensions__20tDialogMessageString	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80019580	133	frontend/common/fedialog	regiondiff/recon/NFS4-R-AU/frontend/common/fedialog.cpp
Camera_NextMode__Fi	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80086244	237	game/common/camera	regiondiff/recon/NFS4-R-AU/game/common/camera.cpp
Camera_SetMode__Fii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80086030	133	game/common/camera	regiondiff/recon/NFS4-R-AU/game/common/camera.cpp
Device_SetHardCodedKeys__Fv	CHANGED	JPN	JPN	800BE1B4	25	game/psx/device	regiondiff/recon/NFS4-R-JPN/game/psx/device.cpp
DisplayLoadingText__7tScreen	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80025B10	80	frontend/common/fescreen	regiondiff/recon/NFS4-R-AU/frontend/common/fescreen.cpp
DisplayLoadingText__7tScreen	CHANGED	JPN+USA	USA	80025AD8	80	frontend/common/fescreen	regiondiff/recon/NFS4-R-USA/frontend/common/fescreen.cpp
DrawBackground__11tScreenMain	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80037BB8	822	frontend/common/screenmain	regiondiff/recon/NFS4-R-USA/frontend/common/screenmain.cpp
DrawBackground__12tScreenAudio	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800462C0	154	frontend/common/screenaudio	regiondiff/recon/NFS4-R-USA/frontend/common/screenaudio.cpp
DrawBackground__14tScreenMemcard	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80047858	410	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-USA/frontend/common/screenmemcard.cpp
DrawBackground__15tScreenCongrats	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800485B4	541	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
DrawBackground__15tScreenUserName	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004B68C	394	frontend/common/screenusername	regiondiff/recon/NFS4-R-USA/frontend/common/screenusername.cpp
DrawBackground__17tScreenTrophyInfo	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80041518	298	frontend/common/screentrophyinfo	regiondiff/recon/NFS4-R-USA/frontend/common/screentrophyinfo.cpp
DrawBackground__17tScreenTrophyRoom	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80040EF8	261	frontend/common/screentrophyroom	regiondiff/recon/NFS4-R-USA/frontend/common/screentrophyroom.cpp
DrawBackground__18tScreenTournSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004022C	415	frontend/common/screentournselect	regiondiff/recon/NFS4-R-USA/frontend/common/screentournselect.cpp
DrawBackground__19tScreenTrackRecords	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80042F30	364	frontend/common/screentrackrecords	regiondiff/recon/NFS4-R-USA/frontend/common/screentrackrecords.cpp
DrawBackground__24tScreenPinkSlipStandings	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003A6D8	265	frontend/common/screenpost	regiondiff/recon/NFS4-R-USA/frontend/common/screenpost.cpp
DrawBackground__25tScreenCarSelectTwoPlayer	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003E83C	342	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
