module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libcd/drv               nosched2             1      11     673       3
syslib/psx/libcd/drv               G0                   0      11     967       2
syslib/psx/libcd/drv               G8                   3      11     687       3
syslib/psx/libcd/drv               nosplit              3      11     681       3
syslib/psx/libcd/event             BASE                 0       5      64       4
syslib/psx/libcd/event             O1                   0       5      72       4
syslib/psx/libcd/event             nodelay              0       5      64       0
syslib/psx/libcd/event             nosched1             0       5      78       4
syslib/psx/libcd/event             nosched2             0       5      58       4
syslib/psx/libcd/event             G0                   0       5      74       4
syslib/psx/libcd/event             G8                   0       5      64       4
syslib/psx/libcd/event             nosplit              0       5      63       4
syslib/psx/libcd/iso9660           BASE                 1       6     356       2
syslib/psx/libcd/iso9660           O1                   0       6     548       1
syslib/psx/libcd/iso9660           nodelay              0       6     579       0
syslib/psx/libcd/iso9660           nosched1             1       6     387       2
syslib/psx/libcd/iso9660           nosched2             0       6     395       1
syslib/psx/libcd/iso9660           G0                   1       6     396       2
syslib/psx/libcd/iso9660           G8                   1       6     356       2
syslib/psx/libcd/iso9660           nosplit              1       6     339       3
syslib/psx/libcd/stcdint           BASE                 1       3     357       1
syslib/psx/libcd/stcdint           O1                   0       3     799       0
syslib/psx/libcd/stcdint           nodelay              0       3     493       0
syslib/psx/libcd/stcdint           nosched1             1       3     512       1
syslib/psx/libcd/stcdint           nosched2             1       3     385       1
syslib/psx/libcd/stcdint           G0                   1       3     950       1
syslib/psx/libcd/stcdint           G8                   1       3     357       1
syslib/psx/libcd/stcdint           nosplit              1       3     360       1
syslib/psx/libcd/stream            BASE                 0       3      32       1
syslib/psx/libcd/stream            O1                   0       3      25       2
syslib/psx/libcd/stream            nodelay              0       3      32       0
syslib/psx/libcd/stream            nosched1             0       3      32       1
syslib/psx/libcd/stream            nosched2             0       3      25       2
syslib/psx/libcd/stream            G0                   0       3      83       2
syslib/psx/libcd/stream            G8                   0       3      32       1
syslib/psx/libcd/stream            nosplit              0       3      32       1
syslib/psx/libcd/streamhelp        BASE                 1       6      75       1
syslib/psx/libcd/streamhelp        O1                   0       6     184       0
syslib/psx/libcd/streamhelp        nodelay              0       6      91       0
syslib/psx/libcd/streamhelp        nosched1             0       6     139       2
syslib/psx/libcd/streamhelp        nosched2             1       6      82       1
syslib/psx/libcd/streamhelp        G0                   0       6     155       2
syslib/psx/libcd/streamhelp        G8                   1       6      75       1
syslib/psx/libcd/streamhelp        nosplit              1       6      75       1
syslib/psx/libcd/toc               BASE                 0       2      93       1
syslib/psx/libcd/toc               O1                   0       2     150       1
syslib/psx/libcd/toc               nodelay              0       2     125       0
syslib/psx/libcd/toc               nosched1             0       2     134       1
syslib/psx/libcd/toc               nosched2             0       2      98       1
syslib/psx/libcd/toc               G0                   0       2      97       1
syslib/psx/libcd/toc               G8                   0       2      93       1
syslib/psx/libcd/toc               nosplit              0       2      89       1
