module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libmcrd/LIBMCRD         G0nosplit            2      26    1337       5
syslib/psx/libmcrd/USERFUNC        BASE                 1       4      59       1
syslib/psx/libmcrd/USERFUNC        G0nosplit            1       4      14       2
syslib/psx/libpad/MCXMAIN          BASE                 0       5     320       2
syslib/psx/libpad/MCXMAIN          G0nosplit            0       5     322       2
syslib/psx/libpad/PAD              BASE                 0       0       0       0
syslib/psx/libpad/PAD              G0nosplit            0       0       0       0
syslib/psx/libpad/PADCMD           BASE                 9      19     450      10
syslib/psx/libpad/PADCMD           G0nosplit            9      19     432      10
syslib/psx/libpad/PADENTRY         BASE                 5       8      72       6
syslib/psx/libpad/PADENTRY         G0nosplit            6       8      52       6
syslib/psx/libpad/PADMAIN          BASE                 1      11     667       3
syslib/psx/libpad/PADMAIN          G0nosplit            2      11     616       4
syslib/psx/libpad/PADPORTD         BASE                 2       8     360       4
syslib/psx/libpad/PADPORTD         G0nosplit            2       8     358       4
syslib/psx/libpad/PADSEQD          BASE                 0       5     208       0
syslib/psx/libpad/PADSEQD          G0nosplit            0       5     208       0
syslib/psx/libpad/WAITRC2          BASE                 0       2      29       0
syslib/psx/libpad/WAITRC2          G0nosplit            0       2      29       0
syslib/psx/libpress/LIBPRESS       BASE                 5      12      82      11
syslib/psx/libpress/LIBPRESS       G0nosplit            5      12      90       9
syslib/psx/libsn/READ              BASE                 0       1      39       0
syslib/psx/libsn/READ              G0nosplit            0       1      39       0
syslib/psx/libsn/WRITE             BASE                 0       1      39       0
syslib/psx/libsn/WRITE             G0nosplit            0       1      39       0
